Kodak;Ektar 100;100;Color Negative;kodak-ektar-100.png;Kodak;KODAK PROFESSIONAL EKTAR 100 Color Negative Film
Kodak;GOLD 200;200;Color Negative;kodak-gold-200.png;Kodak;KODAK GOLD 200 Color Negative Film
Kodak;GT 800;800;Color Negative;kodak-gt-800.png;Kodak;KODAK GOLD 800 Color Negative Film
Kodak;Portra 160;160;Color Negative;kodak-portra-160.png;Kodak;KODAK PROFESSIONAL PORTRA 160 Color Negative Film
Kodak;Portra 400;400;Color Negative;kodak-portra-400.png;Kodak;KODAK PROFESSIONAL PORTRA 400 Color Negative Film
Kodak;Portra 800;800;Color Negative;kodak-portra-800.png;Kodak;KODAK PROFESSIONAL PORTRA 800 Color Negative Film
Kodak;Pro Image 100;100;Color Negative;kodak-pro-image-100.png;Kodak;KODAK PROFESSIONAL PRO IMAGE 100 Color Negative Film
Kodak;T-MAX 100;100;B&W;kodak-t-max-100.png;Kodak;KODAK PROFESSIONAL T-MAX 100 Black & White Film
Kodak;T-MAX 400;400;B&W;kodak-t-max-400.png;Kodak;KODAK PROFESSIONAL T-MAX 400 Black & White Film
Kodak;T-MAX P3200;3200;B&W;kodak-t-max-p3200.png;Kodak;KODAK PROFESSIONAL T-MAX P3200 Black & White Film
Kodak;TRI-X 400;400;B&W;kodak-tri-x-400.png;Kodak;KODAK PROFESSIONAL TRI-X 400 Black & White Film
Kodak;UltraMax 400;400;Color Negative;kodak-ultramax-400.png;Kodak;KODAK UltraMax 400 Color Negative Film
Kodak;VISION3 200T 5213;200;Color Negative;kodak-vision3-200t-5213.png;Kodak;KODAK VISION3 200T Color Negative Film 5213
Kodak;VISION3 250D 5207;250;Color Negative;kodak-vision3-250d-5207.png;Kodak;KODAK VISION3 250D Color Negative Film 5207
Kodak;VISION3 500T 5219;500;Color Negative;kodak-vision3-500t-5219.png;Kodak;KODAK VISION3 500T Color Negative Film 5219
Kodak;VISION3 50D 5203;50;Color Negative;kodak-vision3-50d-5203.png;Kodak;KODAK VISION3 50D Color Negative Film 5203
Lomography;100;100;Color Negative;lomography-100.png;Lomography;Lomography Color Negative 100
Lomography;400;400;Color Negative;lomography-400.png;Lomography;Lomography Color Negative 400
Lomography;800;800;Color Negative;lomography-800.png;Lomography;Lomography Color Negative 800
Lomography;LomoChrome Color '92;400;Color Negative;lomography-lomochrome-color-92.png;;
Lomography;LomoChrome Metropolis ISO 100-400;100;Color Negative;lomography-lomochrome-metropolis-iso-100-400.png;;
Lomography;LomoChrome Purple ISO 100-400;100;Color Negative;lomography-lomochrome-purple-iso-100-400.png;;
Lomography;LomoChrome Turquoise ISO 100-400;100;Color Negative;lomography-lomochrome-turquoise-iso-100-400.png;;
Lucky;Color 200;200;Color Negative;lucky-color-200.png;Lucky;Lucky Color 200 Color Negative Film
Lucky;Color 400;400;Color Negative;lucky-color-400.png;;
Lucky;SHD100;100;B&W;lucky-shd100.png;Lucky;Lucky New Generation SHD100 Black & White Photographic Film
Lucky;SHD400;400;B&W;lucky-shd400.png;Lucky;Lucky New Generation SHD400 Black & White Photographic Film
ORWO;ORIGINAL WOLFEN UN 54;100;B&W;orwo-original-wolfen-un-54.png;OROW;ORIGINAL WOLFEN UN 54
ORWO;ORIGINAL WOLFEN NC400;400;Color Negative;orwo-original-wolfen-nc400.png;ORWO;ORIGINAL WOLFEN NC400 Color Negative Film
ORWO;ORIGINAL WOLFEN NC500;500;Color Negative;orwo-original-wolfen-nc500.png;ORWO;ORIGINAL WOLFEN NC500 Color Negative Film
Rollei;Blackbird 100;100;B&W;rollei-blackbird-100.png;Rollei;Rollei Blackbird 100 Black & White Film
Rollei;CR 200;200;Slide;rollei-cr-200.png;Rollei;Rollei CR200 Color Reversal Film
Rollei;Infrared 400;400;B&W;rollei-infrared-400.png;Rollei;Rollei Infrared 400 Black & White Film
Rollei;Paul;100;B&W;rollei-paul.png;Rollei;Rollei Paul & Reinhold 100 Black & White Film
Rollei;Reinhold;100;B&W;rollei-reinhold.png;;
Rollei;Retro 400S;400;B&W;rollei-retro-400s.png;Rollei;Rollei Retro 400S Black & White Film
Rollei;Retro 80S;80;B&W;rollei-retro-80s.png;Rollei;Rollei Retro 80S Black & White Film
Rollei;RPX 100;100;B&W;rollei-rpx-100.png;Rollei;Rollei RPX 100 Black & White Negative Film
Rollei;RPX 25;25;B&W;rollei-rpx-25.png;Rollei;Rollei RPX 25 Black & White Negative Film
Rollei;RPX 400;400;B&W;rollei-rpx-400.png;Rollei;Rollei RPX 400 Black & White Negative Film
Rollei;Superpan 200;200;B&W;rollei-superpan-200.png;Rollei;Rollei Superpan 200 Black & White Film
Shanghai;GP3 100;100;B&W;shanghai-gp3-100.png;Shanghai;Shanghai GP3 100 Black & White Film
Shanghai;GP3 400;400;B&W;shanghai-gp3-400.png;Shanghai;Shanghai GP3 400 Black & White Film
Shenguang;400;400;Color Negative;shenguang-400.png;Shengaung;400
Shenguang;100;100;Color Negative;shenguang-100.png;;
Silberra;Pan 50;50;B&W;silberra-pan-50.png;;
